Date,centre,Price
07-07-99,HYDERABAD,800.0
14-07-99,HYDERABAD,480.0
21-07-99,HYDERABAD,440.0
28-07-99,HYDERABAD,530.0
04-08-99,HYDERABAD,570.0
11-08-99,HYDERABAD,540.0
18-08-99,HYDERABAD,530.0
25-08-99,HYDERABAD,300.0
01-09-99,HYDERABAD,400.0
08-09-99,HYDERABAD,550.0
15-09-99,HYDERABAD,650.0
22-09-99,HYDERABAD,650.0
29-09-99,HYDERABAD,650.0
06-10-99,HYDERABAD,650.0
13-10-99,HYDERABAD,670.0
20-10-99,HYDERABAD,670.0
27-10-99,HYDERABAD,670.0
03-11-99,HYDERABAD,350.0
10-11-99,HYDERABAD,350.0
17-11-99,HYDERABAD,400.0
24-11-99,HYDERABAD,350.0
01-12-99,HYDERABAD,350.0
08-12-99,HYDERABAD,350.0
15-12-99,HYDERABAD,450.0
22-12-99,HYDERABAD,350.0
29-12-99,HYDERABAD,320.0
05-01-00,HYDERABAD,350.0
12-01-00,HYDERABAD,350.0
19-01-00,HYDERABAD,270.0
26-01-00,HYDERABAD,250.0
02-02-00,HYDERABAD,290.0
09-02-00,HYDERABAD,290.0
16-02-00,HYDERABAD,250.0
23-02-00,HYDERABAD,250.0
01-03-00,HYDERABAD,300.0
08-03-00,HYDERABAD,300.0
15-03-00,HYDERABAD,350.0
22-03-00,HYDERABAD,350.0
29-03-00,HYDERABAD,250.0
05-04-00,HYDERABAD,250.0
12-04-00,HYDERABAD,265.0
19-04-00,HYDERABAD,290.0
26-04-00,HYDERABAD,250.0
03-05-00,HYDERABAD,250.0
10-05-00,HYDERABAD,250.0
17-05-00,HYDERABAD,380.0
24-05-00,HYDERABAD,200.0
31-05-00,HYDERABAD,200.0
07-06-00,HYDERABAD,200.0
14-06-00,HYDERABAD,200.0
21-06-00,HYDERABAD,300.0
28-06-00,HYDERABAD,300.0
05-07-00,HYDERABAD,280.0
12-07-00,HYDERABAD,300.0
19-07-00,HYDERABAD,300.0
26-07-00,HYDERABAD,300.0
02-08-00,HYDERABAD,300.0
09-08-00,HYDERABAD,300.0
16-08-00,HYDERABAD,275.0
23-08-00,HYDERABAD,350.0
30-08-00,HYDERABAD,350.0
06-09-00,HYDERABAD,350.0
13-09-00,HYDERABAD,350.0
20-09-00,HYDERABAD,350.0
27-09-00,HYDERABAD,350.0
04-10-00,HYDERABAD,350.0
11-10-00,HYDERABAD,350.0
18-10-00,HYDERABAD,350.0
25-10-00,HYDERABAD,350.0
01-11-00,HYDERABAD,450.0
08-11-00,HYDERABAD,450.0
15-11-00,HYDERABAD,450.0
22-11-00,HYDERABAD,450.0
29-11-00,HYDERABAD,450.0
06-12-00,HYDERABAD,450.0
13-12-00,HYDERABAD,450.0
20-12-00,HYDERABAD,450.0
27-12-00,HYDERABAD,450.0
03-01-01,HYDERABAD,450.0
10-01-01,HYDERABAD,450.0
17-01-01,HYDERABAD,450.0
24-01-01,HYDERABAD,450.0
31-01-01,HYDERABAD,450.0
07-02-01,HYDERABAD,450.0
14-02-01,HYDERABAD,450.0
21-02-01,HYDERABAD,450.0
28-02-01,HYDERABAD,450.0
07-03-01,HYDERABAD,450.0
14-03-01,HYDERABAD,450.0
21-03-01,HYDERABAD,450.0
28-03-01,HYDERABAD,400.0
04-04-01,HYDERABAD,350.0
11-04-01,HYDERABAD,350.0
18-04-01,HYDERABAD,350.0
25-04-01,HYDERABAD,350.0
02-05-01,HYDERABAD,350.0
09-05-01,HYDERABAD,350.0
16-05-01,HYDERABAD,350.0
23-05-01,HYDERABAD,350.0
30-05-01,HYDERABAD,300.0
