Date,centre,Price
07-07-99,DELHI,685.0
14-07-99,DELHI,650.0
21-07-99,DELHI,500.0
28-07-99,DELHI,510.0
04-08-99,DELHI,500.0
11-08-99,DELHI,590.0
18-08-99,DELHI,545.0
25-08-99,DELHI,540.0
01-09-99,DELHI,540.0
08-09-99,DELHI,550.0
15-09-99,DELHI,540.0
22-09-99,DELHI,550.0
29-09-99,DELHI,540.0
06-10-99,DELHI,560.0
13-10-99,DELHI,620.0
20-10-99,DELHI,640.0
27-10-99,DELHI,760.0
03-11-99,DELHI,640.0
10-11-99,DELHI,600.0
17-11-99,DELHI,450.0
24-11-99,DELHI,375.0
01-12-99,DELHI,310.0
08-12-99,DELHI,270.0
15-12-99,DELHI,240.0
22-12-99,DELHI,270.0
29-12-99,DELHI,220.0
05-01-00,DELHI,210.0
12-01-00,DELHI,220.0
19-01-00,DELHI,215.0
26-01-00,DELHI,210.0
02-02-00,DELHI,210.0
09-02-00,DELHI,180.0
16-02-00,DELHI,180.0
23-02-00,DELHI,180.0
01-03-00,DELHI,180.0
08-03-00,DELHI,185.0
15-03-00,DELHI,220.0
22-03-00,DELHI,270.0
29-03-00,DELHI,280.0
05-04-00,DELHI,265.0
12-04-00,DELHI,260.0
19-04-00,DELHI,275.0
26-04-00,DELHI,280.0
03-05-00,DELHI,280.0
10-05-00,DELHI,275.0
17-05-00,DELHI,280.0
24-05-00,DELHI,285.0
31-05-00,DELHI,315.0
07-06-00,DELHI,400.0
14-06-00,DELHI,415.0
21-06-00,DELHI,415.0
28-06-00,DELHI,400.0
05-07-00,DELHI,400.0
12-07-00,DELHI,410.0
19-07-00,DELHI,410.0
26-07-00,DELHI,400.0
02-08-00,DELHI,410.0
09-08-00,DELHI,410.0
16-08-00,DELHI,410.0
23-08-00,DELHI,410.0
30-08-00,DELHI,410.0
06-09-00,DELHI,410.0
13-09-00,DELHI,410.0
20-09-00,DELHI,410.0
27-09-00,DELHI,410.0
04-10-00,DELHI,410.0
11-10-00,DELHI,410.0
18-10-00,DELHI,410.0
25-10-00,DELHI,410.0
01-11-00,DELHI,410.0
08-11-00,DELHI,410.0
15-11-00,DELHI,410.0
22-11-00,DELHI,410.0
29-11-00,DELHI,380.0
06-12-00,DELHI,380.0
13-12-00,DELHI,260.0
20-12-00,DELHI,260.0
27-12-00,DELHI,215.0
03-01-01,DELHI,295.0
10-01-01,DELHI,295.0
17-01-01,DELHI,164.0
24-01-01,DELHI,200.0
31-01-01,DELHI,156.0
07-02-01,DELHI,172.0
14-02-01,DELHI,212.0
21-02-01,DELHI,220.0
28-02-01,DELHI,231.0
07-03-01,DELHI,230.0
14-03-01,DELHI,269.0
21-03-01,DELHI,290.0
28-03-01,DELHI,340.0
04-04-01,DELHI,370.0
11-04-01,DELHI,387.0
18-04-01,DELHI,362.0
25-04-01,DELHI,515.0
02-05-01,DELHI,470.0
09-05-01,DELHI,470.0
16-05-01,DELHI,470.0
23-05-01,DELHI,400.0
30-05-01,DELHI,460.0
06-06-01,DELHI,550.0
13-06-01,DELHI,550.0
20-06-01,DELHI,578.0
27-06-01,DELHI,544.0
04-07-01,DELHI,687.0
11-07-01,DELHI,490.0
18-07-01,DELHI,500.0
25-07-01,DELHI,586.0
01-08-01,DELHI,586.0
08-08-01,DELHI,615.0
15-08-01,DELHI,650.0
22-08-01,DELHI,703.0
29-08-01,DELHI,740.0
05-09-01,DELHI,708.0
12-09-01,DELHI,638.0
19-09-01,DELHI,585.0
26-09-01,DELHI,607.0
03-10-01,DELHI,600.0
10-10-01,DELHI,600.0
17-10-01,DELHI,780.0
24-10-01,DELHI,761.0
31-10-01,DELHI,518.0
07-11-01,DELHI,625.0
14-11-01,DELHI,625.0
21-11-01,DELHI,632.0
28-11-01,DELHI,560.0
05-12-01,DELHI,502.0
12-12-01,DELHI,500.0
19-12-01,DELHI,460.0
26-12-01,DELHI,375.0
02-01-02,DELHI,394.0
09-01-02,DELHI,375.0
16-01-02,DELHI,416.0
23-01-02,DELHI,343.0
30-01-02,DELHI,331.0
06-02-02,DELHI,343.0
13-02-02,DELHI,340.0
20-02-02,DELHI,340.0
27-02-02,DELHI,340.0
06-03-02,DELHI,340.0
13-03-02,DELHI,381.0
20-03-02,DELHI,409.0
27-03-02,DELHI,389.0
03-04-02,DELHI,337.0
10-04-02,DELHI,365.0
17-04-02,DELHI,378.0
24-04-02,DELHI,387.0
01-05-02,DELHI,382.0
08-05-02,DELHI,372.0
15-05-02,DELHI,392.0
22-05-02,DELHI,437.0
29-05-02,DELHI,460.0
05-06-02,DELHI,480.0
12-06-02,DELHI,407.0
19-06-02,DELHI,437.0
26-06-02,DELHI,708.0
03-07-02,DELHI,800.0
10-07-02,DELHI,700.0
17-07-02,DELHI,485.0
24-07-02,DELHI,648.0
31-07-02,DELHI,635.0
07-08-02,DELHI,770.0
14-08-02,DELHI,711.0
21-08-02,DELHI,734.0
28-08-02,DELHI,750.0
04-09-02,DELHI,750.0
11-09-02,DELHI,802.0
18-09-02,DELHI,906.0
25-09-02,DELHI,875.0
02-10-02,DELHI,875.0
09-10-02,DELHI,780.0
16-10-02,DELHI,780.0
23-10-02,DELHI,770.0
30-10-02,DELHI,805.0
06-11-02,DELHI,828.0
13-11-02,DELHI,805.0
20-11-02,DELHI,805.0
27-11-02,DELHI,515.0
04-12-02,DELHI,470.0
11-12-02,DELHI,325.0
18-12-02,DELHI,245.0
25-12-02,DELHI,240.0
01-01-03,DELHI,240.0
08-01-03,DELHI,231.0
15-01-03,DELHI,234.0
22-01-03,DELHI,223.0
29-01-03,DELHI,225.0
05-02-03,DELHI,231.0
12-02-03,DELHI,220.0
19-02-03,DELHI,210.0
26-02-03,DELHI,219.0
05-03-03,DELHI,220.0
12-03-03,DELHI,225.0
19-03-03,DELHI,210.0
26-03-03,DELHI,212.0
02-04-03,DELHI,175.0
09-04-03,DELHI,360.0
16-04-03,DELHI,212.0
23-04-03,DELHI,220.0
30-04-03,DELHI,210.0
07-05-03,DELHI,450.0
14-05-03,DELHI,220.0
21-05-03,DELHI,260.0
28-05-03,DELHI,270.0
04-06-03,DELHI,290.0
11-06-03,DELHI,290.0
18-06-03,DELHI,375.0
25-06-03,DELHI,460.0
02-07-03,DELHI,450.0
09-07-03,DELHI,460.0
16-07-03,DELHI,550.0
23-07-03,DELHI,525.0
30-07-03,DELHI,525.0
06-08-03,DELHI,535.0
13-08-03,DELHI,550.0
20-08-03,DELHI,475.0
27-08-03,DELHI,462.0
03-09-03,DELHI,452.0
10-09-03,DELHI,462.0
17-09-03,DELHI,462.0
24-09-03,DELHI,460.0
01-10-03,DELHI,470.0
08-10-03,DELHI,435.0
15-10-03,DELHI,395.0
22-10-03,DELHI,410.0
29-10-03,DELHI,500.0
05-11-03,DELHI,450.0
12-11-03,DELHI,450.0
