Date,centre,Price
06-01-93,BHUBANESHWAR,460.0
13-01-93,BHUBANESHWAR,460.0
20-01-93,BHUBANESHWAR,460.0
27-01-93,BHUBANESHWAR,460.0
03-02-93,BHUBANESHWAR,460.0
10-02-93,BHUBANESHWAR,460.0
17-02-93,BHUBANESHWAR,460.0
24-02-93,BHUBANESHWAR,460.0
03-03-93,BHUBANESHWAR,460.0
10-03-93,BHUBANESHWAR,460.0
17-03-93,BHUBANESHWAR,460.0
24-03-93,BHUBANESHWAR,460.0
31-03-93,BHUBANESHWAR,460.0
07-04-93,BHUBANESHWAR,460.0
14-04-93,BHUBANESHWAR,460.0
21-04-93,BHUBANESHWAR,460.0
28-04-93,BHUBANESHWAR,470.0
05-05-93,BHUBANESHWAR,470.0
12-05-93,BHUBANESHWAR,470.0
19-05-93,BHUBANESHWAR,470.0
26-05-93,BHUBANESHWAR,450.0
23-06-93,BHUBANESHWAR,460.0
30-06-93,BHUBANESHWAR,460.0
07-07-93,BHUBANESHWAR,470.0
14-07-93,BHUBANESHWAR,470.0
21-07-93,BHUBANESHWAR,480.0
28-07-93,BHUBANESHWAR,490.0
04-08-93,BHUBANESHWAR,500.0
11-08-93,BHUBANESHWAR,500.0
18-08-93,BHUBANESHWAR,500.0
01-09-93,BHUBANESHWAR,540.0
08-09-93,BHUBANESHWAR,535.0
15-09-93,BHUBANESHWAR,530.0
22-09-93,BHUBANESHWAR,560.0
29-09-93,BHUBANESHWAR,520.0
06-10-93,BHUBANESHWAR,520.0
13-10-93,BHUBANESHWAR,520.0
20-10-93,BHUBANESHWAR,520.0
27-10-93,BHUBANESHWAR,520.0
03-11-93,BHUBANESHWAR,520.0
10-11-93,BHUBANESHWAR,530.0
17-11-93,BHUBANESHWAR,530.0
24-11-93,BHUBANESHWAR,530.0
01-12-93,BHUBANESHWAR,480.0
08-12-93,BHUBANESHWAR,480.0
15-12-93,BHUBANESHWAR,490.0
22-12-93,BHUBANESHWAR,500.0
29-12-93,BHUBANESHWAR,510.0
05-01-94,BHUBANESHWAR,510.0
12-01-94,BHUBANESHWAR,510.0
19-01-94,BHUBANESHWAR,500.0
26-01-94,BHUBANESHWAR,500.0
02-02-94,BHUBANESHWAR,470.0
09-02-94,BHUBANESHWAR,460.0
16-02-94,BHUBANESHWAR,460.0
02-03-94,BHUBANESHWAR,480.0
09-03-94,BHUBANESHWAR,480.0
16-03-94,BHUBANESHWAR,480.0
23-03-94,BHUBANESHWAR,480.0
30-03-94,BHUBANESHWAR,480.0
06-04-94,BHUBANESHWAR,480.0
13-04-94,BHUBANESHWAR,480.0
20-04-94,BHUBANESHWAR,480.0
27-04-94,BHUBANESHWAR,480.0
04-05-94,BHUBANESHWAR,510.0
11-05-94,BHUBANESHWAR,510.0
25-05-94,BHUBANESHWAR,510.0
01-06-94,BHUBANESHWAR,510.0
08-06-94,BHUBANESHWAR,515.0
15-06-94,BHUBANESHWAR,515.0
22-06-94,BHUBANESHWAR,515.0
29-06-94,BHUBANESHWAR,515.0
13-07-94,BHUBANESHWAR,525.0
20-07-94,BHUBANESHWAR,550.0
27-07-94,BHUBANESHWAR,570.0
03-08-94,BHUBANESHWAR,570.0
10-08-94,BHUBANESHWAR,580.0
17-08-94,BHUBANESHWAR,580.0
24-08-94,BHUBANESHWAR,590.0
31-08-94,BHUBANESHWAR,590.0
07-09-94,BHUBANESHWAR,610.0
14-09-94,BHUBANESHWAR,610.0
21-09-94,BHUBANESHWAR,620.0
28-09-94,BHUBANESHWAR,620.0
05-10-94,BHUBANESHWAR,620.0
19-10-94,BHUBANESHWAR,620.0
26-10-94,BHUBANESHWAR,600.0
02-11-94,BHUBANESHWAR,600.0
09-11-94,BHUBANESHWAR,600.0
16-11-94,BHUBANESHWAR,620.0
23-11-94,BHUBANESHWAR,620.0
30-11-94,BHUBANESHWAR,620.0
07-12-94,BHUBANESHWAR,590.0
14-12-94,BHUBANESHWAR,580.0
21-12-94,BHUBANESHWAR,580.0
28-12-94,BHUBANESHWAR,580.0
04-01-95,BHUBANESHWAR,580.0
11-01-95,BHUBANESHWAR,580.0
18-01-95,BHUBANESHWAR,580.0
25-01-95,BHUBANESHWAR,580.0
01-02-95,BHUBANESHWAR,600.0
08-02-95,BHUBANESHWAR,600.0
15-02-95,BHUBANESHWAR,600.0
22-02-95,BHUBANESHWAR,580.0
01-03-95,BHUBANESHWAR,580.0
08-03-95,BHUBANESHWAR,600.0
15-03-95,BHUBANESHWAR,600.0
05-04-95,BHUBANESHWAR,630.0
19-04-95,BHUBANESHWAR,630.0
26-04-95,BHUBANESHWAR,630.0
03-05-95,BHUBANESHWAR,630.0
10-05-95,BHUBANESHWAR,630.0
17-05-95,BHUBANESHWAR,680.0
24-05-95,BHUBANESHWAR,680.0
31-05-95,BHUBANESHWAR,680.0
07-06-95,BHUBANESHWAR,680.0
14-06-95,BHUBANESHWAR,685.0
21-06-95,BHUBANESHWAR,670.0
28-06-95,BHUBANESHWAR,640.0
05-07-95,BHUBANESHWAR,610.0
12-07-95,BHUBANESHWAR,600.0
19-07-95,BHUBANESHWAR,640.0
26-07-95,BHUBANESHWAR,640.0
02-08-95,BHUBANESHWAR,640.0
09-08-95,BHUBANESHWAR,640.0
16-08-95,BHUBANESHWAR,640.0
23-08-95,BHUBANESHWAR,640.0
06-09-95,BHUBANESHWAR,640.0
13-09-95,BHUBANESHWAR,640.0
20-09-95,BHUBANESHWAR,640.0
27-09-95,BHUBANESHWAR,640.0
11-10-95,BHUBANESHWAR,650.0
18-10-95,BHUBANESHWAR,660.0
25-10-95,BHUBANESHWAR,680.0
01-11-95,BHUBANESHWAR,680.0
08-11-95,BHUBANESHWAR,720.0
15-11-95,BHUBANESHWAR,720.0
22-11-95,BHUBANESHWAR,720.0
06-12-95,BHUBANESHWAR,720.0
13-12-95,BHUBANESHWAR,720.0
20-12-95,BHUBANESHWAR,720.0
27-12-95,BHUBANESHWAR,720.0
03-01-96,BHUBANESHWAR,720.0
10-01-96,BHUBANESHWAR,720.0
17-01-96,BHUBANESHWAR,600.0
24-01-96,BHUBANESHWAR,600.0
31-01-96,BHUBANESHWAR,600.0
07-02-96,BHUBANESHWAR,600.0
14-02-96,BHUBANESHWAR,600.0
06-03-96,BHUBANESHWAR,600.0
13-03-96,BHUBANESHWAR,620.0
27-03-96,BHUBANESHWAR,620.0
03-04-96,BHUBANESHWAR,620.0
17-04-96,BHUBANESHWAR,620.0
24-04-96,BHUBANESHWAR,620.0
01-05-96,BHUBANESHWAR,640.0
08-05-96,BHUBANESHWAR,640.0
15-05-96,BHUBANESHWAR,640.0
22-05-96,BHUBANESHWAR,640.0
29-05-96,BHUBANESHWAR,640.0
05-06-96,BHUBANESHWAR,625.0
12-06-96,BHUBANESHWAR,625.0
19-06-96,BHUBANESHWAR,600.0
26-06-96,BHUBANESHWAR,610.0
03-07-96,BHUBANESHWAR,610.0
10-07-96,BHUBANESHWAR,630.0
17-07-96,BHUBANESHWAR,630.0
24-07-96,BHUBANESHWAR,630.0
31-07-96,BHUBANESHWAR,630.0
07-08-96,BHUBANESHWAR,630.0
14-08-96,BHUBANESHWAR,670.0
21-08-96,BHUBANESHWAR,670.0
28-08-96,BHUBANESHWAR,730.0
04-09-96,BHUBANESHWAR,730.0
11-09-96,BHUBANESHWAR,720.0
18-09-96,BHUBANESHWAR,720.0
25-09-96,BHUBANESHWAR,720.0
02-10-96,BHUBANESHWAR,740.0
03-10-96,BHUBANESHWAR,740.0
09-10-96,BHUBANESHWAR,720.0
16-10-96,BHUBANESHWAR,740.0
23-10-96,BHUBANESHWAR,735.0
30-10-96,BHUBANESHWAR,725.0
06-11-96,BHUBANESHWAR,730.0
13-11-96,BHUBANESHWAR,730.0
20-11-96,BHUBANESHWAR,720.0
27-11-96,BHUBANESHWAR,740.0
04-12-96,BHUBANESHWAR,740.0
11-12-96,BHUBANESHWAR,740.0
18-12-96,BHUBANESHWAR,740.0
25-12-96,BHUBANESHWAR,740.0
01-01-97,BHUBANESHWAR,740.0
15-01-97,BHUBANESHWAR,720.0
