Date,centre,Price
06-01-93,SHIMLA,725.0
13-01-93,SHIMLA,725.0
20-01-93,SHIMLA,725.0
27-01-93,SHIMLA,661.0
03-02-93,SHIMLA,661.0
10-02-93,SHIMLA,712.0
17-02-93,SHIMLA,712.0
24-02-93,SHIMLA,712.0
03-03-93,SHIMLA,712.0
10-03-93,SHIMLA,717.0
17-03-93,SHIMLA,717.0
24-03-93,SHIMLA,717.0
31-03-93,SHIMLA,717.0
07-04-93,SHIMLA,722.0
14-04-93,SHIMLA,722.0
21-04-93,SHIMLA,722.0
28-04-93,SHIMLA,722.0
05-05-93,SHIMLA,722.0
12-05-93,SHIMLA,792.0
19-05-93,SHIMLA,792.0
26-05-93,SHIMLA,792.0
02-06-93,SHIMLA,825.0
09-06-93,SHIMLA,825.0
16-06-93,SHIMLA,825.0
23-06-93,SHIMLA,825.0
30-06-93,SHIMLA,825.0
07-07-93,SHIMLA,825.0
14-07-93,SHIMLA,829.0
21-07-93,SHIMLA,825.0
28-07-93,SHIMLA,825.0
04-08-93,SHIMLA,844.0
11-08-93,SHIMLA,844.0
18-08-93,SHIMLA,755.0
25-08-93,SHIMLA,775.0
01-09-93,SHIMLA,773.0
08-09-93,SHIMLA,773.0
15-09-93,SHIMLA,773.0
22-09-93,SHIMLA,815.0
29-09-93,SHIMLA,808.0
06-10-93,SHIMLA,825.0
13-10-93,SHIMLA,825.0
20-10-93,SHIMLA,850.0
27-10-93,SHIMLA,825.0
03-11-93,SHIMLA,839.0
10-11-93,SHIMLA,839.0
17-11-93,SHIMLA,839.0
24-11-93,SHIMLA,834.0
01-12-93,SHIMLA,834.0
08-12-93,SHIMLA,785.0
15-12-93,SHIMLA,795.0
22-12-93,SHIMLA,850.0
29-12-93,SHIMLA,810.0
05-01-94,SHIMLA,785.0
12-01-94,SHIMLA,785.0
02-02-94,SHIMLA,825.0
09-02-94,SHIMLA,768.0
16-02-94,SHIMLA,799.0
23-02-94,SHIMLA,799.0
02-03-94,SHIMLA,810.0
09-03-94,SHIMLA,859.0
16-03-94,SHIMLA,810.0
23-03-94,SHIMLA,810.0
30-03-94,SHIMLA,820.0
06-04-94,SHIMLA,775.0
13-04-94,SHIMLA,775.0
20-04-94,SHIMLA,828.0
27-04-94,SHIMLA,815.0
04-05-94,SHIMLA,825.0
11-05-94,SHIMLA,875.0
25-05-94,SHIMLA,865.0
01-06-94,SHIMLA,865.0
08-06-94,SHIMLA,880.0
15-06-94,SHIMLA,790.0
22-06-94,SHIMLA,790.0
06-07-94,SHIMLA,900.0
13-07-94,SHIMLA,900.0
20-07-94,SHIMLA,900.0
03-08-94,SHIMLA,900.0
10-08-94,SHIMLA,900.0
17-08-94,SHIMLA,900.0
24-08-94,SHIMLA,900.0
31-08-94,SHIMLA,900.0
07-09-94,SHIMLA,900.0
14-09-94,SHIMLA,900.0
21-09-94,SHIMLA,900.0
28-09-94,SHIMLA,900.0
05-10-94,SHIMLA,900.0
12-10-94,SHIMLA,900.0
19-10-94,SHIMLA,875.0
26-10-94,SHIMLA,875.0
02-11-94,SHIMLA,875.0
09-11-94,SHIMLA,825.0
16-11-94,SHIMLA,825.0
23-11-94,SHIMLA,875.0
30-11-94,SHIMLA,875.0
07-12-94,SHIMLA,850.0
14-12-94,SHIMLA,850.0
21-12-94,SHIMLA,850.0
04-01-95,SHIMLA,850.0
11-01-95,SHIMLA,900.0
18-01-95,SHIMLA,900.0
