Date,centre,Price
06-01-93,CHENNAI,631.0
13-01-93,CHENNAI,631.0
20-01-93,CHENNAI,631.0
27-01-93,CHENNAI,631.0
03-02-93,CHENNAI,631.0
10-02-93,CHENNAI,611.0
17-02-93,CHENNAI,601.0
24-02-93,CHENNAI,581.0
03-03-93,CHENNAI,561.0
10-03-93,CHENNAI,551.0
17-03-93,CHENNAI,551.0
24-03-93,CHENNAI,551.0
31-03-93,CHENNAI,551.0
07-04-93,CHENNAI,551.0
14-04-93,CHENNAI,551.0
21-04-93,CHENNAI,551.0
28-04-93,CHENNAI,551.0
05-05-93,CHENNAI,540.0
12-05-93,CHENNAI,530.0
19-05-93,CHENNAI,530.0
26-05-93,CHENNAI,520.0
02-06-93,CHENNAI,520.0
09-06-93,CHENNAI,520.0
16-06-93,CHENNAI,530.0
23-06-93,CHENNAI,540.0
30-06-93,CHENNAI,540.0
07-07-93,CHENNAI,530.0
14-07-93,CHENNAI,540.0
21-07-93,CHENNAI,551.0
28-07-93,CHENNAI,530.0
04-08-93,CHENNAI,520.0
11-08-93,CHENNAI,556.0
18-08-93,CHENNAI,561.0
25-08-93,CHENNAI,591.0
01-09-93,CHENNAI,571.0
08-09-93,CHENNAI,576.0
15-09-93,CHENNAI,621.0
22-09-93,CHENNAI,601.0
29-09-93,CHENNAI,601.0
06-10-93,CHENNAI,631.0
13-10-93,CHENNAI,630.0
27-10-93,CHENNAI,662.0
03-11-93,CHENNAI,662.0
10-11-93,CHENNAI,672.0
17-11-93,CHENNAI,672.0
24-11-93,CHENNAI,672.0
01-12-93,CHENNAI,677.0
08-12-93,CHENNAI,702.0
15-12-93,CHENNAI,662.0
22-12-93,CHENNAI,641.0
29-12-93,CHENNAI,652.0
05-01-94,CHENNAI,682.0
12-01-94,CHENNAI,682.0
19-01-94,CHENNAI,682.0
26-01-94,CHENNAI,692.0
09-02-94,CHENNAI,702.0
16-02-94,CHENNAI,682.0
23-02-94,CHENNAI,662.0
02-03-94,CHENNAI,692.0
09-03-94,CHENNAI,702.0
16-03-94,CHENNAI,672.0
23-03-94,CHENNAI,631.0
30-03-94,CHENNAI,641.0
06-04-94,CHENNAI,652.0
13-04-94,CHENNAI,692.0
20-04-94,CHENNAI,682.0
27-04-94,CHENNAI,682.0
04-05-94,CHENNAI,662.0
11-05-94,CHENNAI,662.0
18-05-94,CHENNAI,641.0
25-05-94,CHENNAI,662.0
01-06-94,CHENNAI,682.0
08-06-94,CHENNAI,641.0
15-06-94,CHENNAI,662.0
22-06-94,CHENNAI,662.0
29-06-94,CHENNAI,641.0
06-07-94,CHENNAI,641.0
13-07-94,CHENNAI,641.0
20-07-94,CHENNAI,641.0
27-07-94,CHENNAI,652.0
03-08-94,CHENNAI,611.0
10-08-94,CHENNAI,611.0
17-08-94,CHENNAI,611.0
24-08-94,CHENNAI,631.0
31-08-94,CHENNAI,641.0
07-09-94,CHENNAI,641.0
14-09-94,CHENNAI,662.0
21-09-94,CHENNAI,621.0
28-09-94,CHENNAI,641.0
05-10-94,CHENNAI,631.0
12-10-94,CHENNAI,631.0
19-10-94,CHENNAI,652.0
26-10-94,CHENNAI,652.0
02-11-94,CHENNAI,641.0
09-11-94,CHENNAI,621.0
16-11-94,CHENNAI,662.0
23-11-94,CHENNAI,682.0
30-11-94,CHENNAI,682.0
07-12-94,CHENNAI,662.0
14-12-94,CHENNAI,682.0
21-12-94,CHENNAI,682.0
28-12-94,CHENNAI,722.0
04-01-95,CHENNAI,712.0
11-01-95,CHENNAI,712.0
18-01-95,CHENNAI,662.0
25-01-95,CHENNAI,682.0
01-02-95,CHENNAI,722.0
08-02-95,CHENNAI,722.0
15-02-95,CHENNAI,722.0
22-02-95,CHENNAI,765.0
01-03-95,CHENNAI,762.0
08-03-95,CHENNAI,722.0
15-03-95,CHENNAI,702.0
22-03-95,CHENNAI,702.0
29-03-95,CHENNAI,662.0
05-04-95,CHENNAI,662.0
19-04-95,CHENNAI,672.0
26-04-95,CHENNAI,672.0
03-05-95,CHENNAI,641.0
10-05-95,CHENNAI,662.0
17-05-95,CHENNAI,662.0
24-05-95,CHENNAI,611.0
07-06-95,CHENNAI,611.0
14-06-95,CHENNAI,621.0
21-06-95,CHENNAI,652.0
28-06-95,CHENNAI,652.0
05-07-95,CHENNAI,641.0
19-07-95,CHENNAI,652.0
26-07-95,CHENNAI,652.0
02-08-95,CHENNAI,641.0
16-08-95,CHENNAI,652.0
23-08-95,CHENNAI,652.0
30-08-95,CHENNAI,652.0
06-09-95,CHENNAI,641.0
13-09-95,CHENNAI,641.0
20-09-95,CHENNAI,641.0
27-09-95,CHENNAI,641.0
04-10-95,CHENNAI,641.0
11-10-95,CHENNAI,641.0
18-10-95,CHENNAI,652.0
25-10-95,CHENNAI,702.0
01-11-95,CHENNAI,702.0
08-11-95,CHENNAI,702.0
15-11-95,CHENNAI,702.0
06-12-95,CHENNAI,732.0
13-12-95,CHENNAI,742.0
20-12-95,CHENNAI,742.0
03-01-96,CHENNAI,742.0
10-01-96,CHENNAI,742.0
17-01-96,CHENNAI,753.0
24-01-96,CHENNAI,783.0
31-01-96,CHENNAI,783.0
07-02-96,CHENNAI,763.0
14-02-96,CHENNAI,763.0
21-02-96,CHENNAI,773.0
28-02-96,CHENNAI,773.0
