Date,centre,Price
06-01-93,HYDERABAD,555.0
13-01-93,HYDERABAD,555.0
20-01-93,HYDERABAD,555.0
27-01-93,HYDERABAD,525.0
03-02-93,HYDERABAD,555.0
10-02-93,HYDERABAD,555.0
17-02-93,HYDERABAD,555.0
24-02-93,HYDERABAD,555.0
03-03-93,HYDERABAD,555.0
10-03-93,HYDERABAD,555.0
17-03-93,HYDERABAD,555.0
24-03-93,HYDERABAD,550.0
31-03-93,HYDERABAD,550.0
07-04-93,HYDERABAD,550.0
14-04-93,HYDERABAD,570.0
21-04-93,HYDERABAD,600.0
28-04-93,HYDERABAD,600.0
05-05-93,HYDERABAD,580.0
12-05-93,HYDERABAD,550.0
19-05-93,HYDERABAD,550.0
26-05-93,HYDERABAD,550.0
02-06-93,HYDERABAD,550.0
09-06-93,HYDERABAD,550.0
16-06-93,HYDERABAD,550.0
23-06-93,HYDERABAD,550.0
30-06-93,HYDERABAD,550.0
07-07-93,HYDERABAD,575.0
14-07-93,HYDERABAD,575.0
21-07-93,HYDERABAD,575.0
04-08-93,HYDERABAD,570.0
11-08-93,HYDERABAD,580.0
18-08-93,HYDERABAD,580.0
01-09-93,HYDERABAD,570.0
08-09-93,HYDERABAD,570.0
15-09-93,HYDERABAD,570.0
22-09-93,HYDERABAD,570.0
29-09-93,HYDERABAD,600.0
06-10-93,HYDERABAD,600.0
13-10-93,HYDERABAD,600.0
20-10-93,HYDERABAD,650.0
27-10-93,HYDERABAD,650.0
03-11-93,HYDERABAD,650.0
24-11-93,HYDERABAD,650.0
08-12-93,HYDERABAD,650.0
15-12-93,HYDERABAD,670.0
22-12-93,HYDERABAD,670.0
29-12-93,HYDERABAD,670.0
05-01-94,HYDERABAD,670.0
12-01-94,HYDERABAD,670.0
19-01-94,HYDERABAD,670.0
26-01-94,HYDERABAD,670.0
02-02-94,HYDERABAD,670.0
09-02-94,HYDERABAD,670.0
16-02-94,HYDERABAD,670.0
23-02-94,HYDERABAD,670.0
02-03-94,HYDERABAD,670.0
09-03-94,HYDERABAD,670.0
16-03-94,HYDERABAD,670.0
23-03-94,HYDERABAD,670.0
30-03-94,HYDERABAD,670.0
06-04-94,HYDERABAD,670.0
13-04-94,HYDERABAD,670.0
20-04-94,HYDERABAD,620.0
27-04-94,HYDERABAD,620.0
04-05-94,HYDERABAD,600.0
11-05-94,HYDERABAD,620.0
18-05-94,HYDERABAD,620.0
25-05-94,HYDERABAD,620.0
01-06-94,HYDERABAD,620.0
08-06-94,HYDERABAD,620.0
15-06-94,HYDERABAD,620.0
22-06-94,HYDERABAD,620.0
06-07-94,HYDERABAD,650.0
13-07-94,HYDERABAD,650.0
20-07-94,HYDERABAD,650.0
27-07-94,HYDERABAD,650.0
03-08-94,HYDERABAD,650.0
10-08-94,HYDERABAD,650.0
17-08-94,HYDERABAD,650.0
24-08-94,HYDERABAD,650.0
31-08-94,HYDERABAD,600.0
07-09-94,HYDERABAD,600.0
14-09-94,HYDERABAD,600.0
21-09-94,HYDERABAD,600.0
28-09-94,HYDERABAD,675.0
05-10-94,HYDERABAD,700.0
12-10-94,HYDERABAD,700.0
19-10-94,HYDERABAD,700.0
02-11-94,HYDERABAD,700.0
09-11-94,HYDERABAD,700.0
16-11-94,HYDERABAD,700.0
23-11-94,HYDERABAD,700.0
07-12-94,HYDERABAD,680.0
14-12-94,HYDERABAD,680.0
21-12-94,HYDERABAD,700.0
28-12-94,HYDERABAD,700.0
04-01-95,HYDERABAD,700.0
11-01-95,HYDERABAD,710.0
18-01-95,HYDERABAD,710.0
25-01-95,HYDERABAD,710.0
01-02-95,HYDERABAD,710.0
08-02-95,HYDERABAD,710.0
15-02-95,HYDERABAD,650.0
22-02-95,HYDERABAD,600.0
01-03-95,HYDERABAD,600.0
08-03-95,HYDERABAD,600.0
15-03-95,HYDERABAD,600.0
22-03-95,HYDERABAD,600.0
29-03-95,HYDERABAD,600.0
05-04-95,HYDERABAD,600.0
19-04-95,HYDERABAD,550.0
26-04-95,HYDERABAD,550.0
03-05-95,HYDERABAD,650.0
17-05-95,HYDERABAD,650.0
24-05-95,HYDERABAD,600.0
31-05-95,HYDERABAD,600.0
14-06-95,HYDERABAD,600.0
18-10-95,HYDERABAD,650.0
25-10-95,HYDERABAD,650.0
01-11-95,HYDERABAD,650.0
08-11-95,HYDERABAD,650.0
15-11-95,HYDERABAD,640.0
22-11-95,HYDERABAD,670.0
29-11-95,HYDERABAD,670.0
06-12-95,HYDERABAD,670.0
13-12-95,HYDERABAD,670.0
20-12-95,HYDERABAD,670.0
27-12-95,HYDERABAD,680.0
03-01-96,HYDERABAD,680.0
10-01-96,HYDERABAD,700.0
17-01-96,HYDERABAD,675.0
24-01-96,HYDERABAD,670.0
31-01-96,HYDERABAD,670.0
14-02-96,HYDERABAD,690.0
06-03-96,HYDERABAD,700.0
13-03-96,HYDERABAD,680.0
20-03-96,HYDERABAD,680.0
27-03-96,HYDERABAD,680.0
03-04-96,HYDERABAD,680.0
17-04-96,HYDERABAD,640.0
24-04-96,HYDERABAD,680.0
01-05-96,HYDERABAD,680.0
08-05-96,HYDERABAD,680.0
15-05-96,HYDERABAD,680.0
22-05-96,HYDERABAD,680.0
29-05-96,HYDERABAD,680.0
05-06-96,HYDERABAD,680.0
12-06-96,HYDERABAD,680.0
19-06-96,HYDERABAD,680.0
26-06-96,HYDERABAD,680.0
03-07-96,HYDERABAD,680.0
10-07-96,HYDERABAD,690.0
17-07-96,HYDERABAD,690.0
24-07-96,HYDERABAD,690.0
31-07-96,HYDERABAD,690.0
07-08-96,HYDERABAD,670.0
14-08-96,HYDERABAD,710.0
21-08-96,HYDERABAD,650.0
28-08-96,HYDERABAD,650.0
04-09-96,HYDERABAD,650.0
11-09-96,HYDERABAD,650.0
18-09-96,HYDERABAD,650.0
25-09-96,HYDERABAD,650.0
02-10-96,HYDERABAD,650.0
03-10-96,HYDERABAD,650.0
16-10-96,HYDERABAD,800.0
30-10-96,HYDERABAD,800.0
06-11-96,HYDERABAD,980.0
13-11-96,HYDERABAD,780.0
20-11-96,HYDERABAD,780.0
27-11-96,HYDERABAD,780.0
04-12-96,HYDERABAD,850.0
11-12-96,HYDERABAD,850.0
18-12-96,HYDERABAD,850.0
25-12-96,HYDERABAD,795.0
01-01-97,HYDERABAD,795.0
08-01-97,HYDERABAD,1000.0
15-01-97,HYDERABAD,795.0
22-01-97,HYDERABAD,795.0
29-01-97,HYDERABAD,980.0
05-02-97,HYDERABAD,980.0
07-02-97,HYDERABAD,850.0
12-02-97,HYDERABAD,990.0
19-02-97,HYDERABAD,980.0
26-02-97,HYDERABAD,1020.0
05-03-97,HYDERABAD,1020.0
12-03-97,HYDERABAD,830.0
19-03-97,HYDERABAD,850.0
26-03-97,HYDERABAD,845.0
