Date,centre,Price
06-01-93,KARNAL,320.0
20-01-93,KARNAL,325.0
27-01-93,KARNAL,325.0
03-02-93,KARNAL,325.0
10-02-93,KARNAL,325.0
24-02-93,KARNAL,310.0
03-03-93,KARNAL,320.0
10-03-93,KARNAL,320.0
24-03-93,KARNAL,320.0
31-03-93,KARNAL,320.0
07-04-93,KARNAL,320.0
14-04-93,KARNAL,320.0
21-04-93,KARNAL,320.0
28-04-93,KARNAL,330.0
12-05-93,KARNAL,330.0
19-05-93,KARNAL,330.0
26-05-93,KARNAL,330.0
02-06-93,KARNAL,330.0
09-06-93,KARNAL,330.0
23-06-93,KARNAL,350.0
30-06-93,KARNAL,350.0
07-07-93,KARNAL,350.0
14-07-93,KARNAL,342.0
21-07-93,KARNAL,342.0
28-07-93,KARNAL,342.0
04-08-93,KARNAL,345.0
11-08-93,KARNAL,345.0
18-08-93,KARNAL,350.0
25-08-93,KARNAL,350.0
01-09-93,KARNAL,375.0
08-09-93,KARNAL,370.0
15-09-93,KARNAL,360.0
22-09-93,KARNAL,360.0
29-09-93,KARNAL,360.0
06-10-93,KARNAL,360.0
20-10-93,KARNAL,360.0
27-10-93,KARNAL,360.0
03-11-93,KARNAL,360.0
24-11-93,KARNAL,350.0
15-12-93,KARNAL,360.0
22-12-93,KARNAL,360.0
05-01-94,KARNAL,360.0
12-01-94,KARNAL,360.0
19-01-94,KARNAL,360.0
26-01-94,KARNAL,360.0
02-02-94,KARNAL,360.0
09-02-94,KARNAL,360.0
02-03-94,KARNAL,400.0
09-03-94,KARNAL,400.0
16-03-94,KARNAL,400.0
23-03-94,KARNAL,400.0
30-03-94,KARNAL,400.0
06-04-94,KARNAL,360.0
13-04-94,KARNAL,350.0
04-05-94,KARNAL,350.0
11-05-94,KARNAL,350.0
18-05-94,KARNAL,370.0
01-06-94,KARNAL,370.0
22-06-94,KARNAL,360.0
29-06-94,KARNAL,370.0
13-07-94,KARNAL,370.0
20-07-94,KARNAL,370.0
27-07-94,KARNAL,370.0
03-08-94,KARNAL,365.0
31-08-94,KARNAL,370.0
07-09-94,KARNAL,370.0
14-09-94,KARNAL,370.0
21-09-94,KARNAL,390.0
